what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1732552320453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552322776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552325398
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1732552325938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552326033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552327396
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1732552331856
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1732552332336
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1732552335072
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1732552339102
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1732552379644
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1732552380662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552382543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552458741
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1732552460234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1732552462383
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1732552463431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552467233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552469913
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1732552470592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552470703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1732552472273
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1732552476904
